+-------------------------+---------------+------------------+----------------+----------------+----------------+----------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------+
|         Feature         |   Estimator   |     Accuracy     |   Precision    |     Recall     |       F1       |      AUC       |                                        Accuracy_best                                         |                                        Precision_best                                        |                                         Recall_best                                          |                                           F1_best                                            |                                           AUC_best                                           |
|           age           | decision_tree |  0.632996632997  | 0.632996632997 | 0.632996632997 | 0.632996632997 | 0.632996632997 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |
|           age           | random_forest |  0.646464646465  | 0.646464646465 | 0.646464646465 | 0.646464646465 | 0.646464646465 |       {'max_features': None, 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 1}        |       {'max_features': None, 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 1}        |       {'max_features': None, 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 1}        |       {'max_features': None, 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 1}        |       {'max_features': None, 'max_leaf_nodes': 15, 'bootstrap': True, 'max_depth': 1}        |
|           sex           |     linear    | 0.0405350458771  |      0.0       |      0.0       |      0.0       |      0.0       |                                     {'normalize': True}                                      |                                             0.0                                              |                                             0.0                                              |                                             0.0                                              |                                             0.0                                              |
|           sex           |      knn      |  0.616161616162  | 0.616161616162 | 0.616161616162 | 0.616161616162 | 0.616161616162 |   {'n_neighbors': 40, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}   |   {'n_neighbors': 40, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}   |   {'n_neighbors': 40, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}   |   {'n_neighbors': 40, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}   |   {'n_neighbors': 40, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}   |
|           sex           |    logistic   |  0.616161616162  | 0.616161616162 | 0.616161616162 | 0.616161616162 | 0.616161616162 |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |                           {'penalty': 'l1', 'solver': 'liblinear'}                           |
|           sex           |    gaussian   |  0.616161616162  | 0.616161616162 | 0.616161616162 | 0.616161616162 | 0.616161616162 |                                              {}                                              |                                              {}                                              |                                              {}                                              |                                              {}                                              |                                              {}                                              |
|           sex           |      svc      |  0.616161616162  | 0.616161616162 | 0.616161616162 | 0.616161616162 | 0.616161616162 |         {'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}          |         {'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}          |         {'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}          |         {'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}          |         {'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}          |
|           sex           | decision_tree |  0.616161616162  | 0.616161616162 | 0.616161616162 | 0.616161616162 | 0.616161616162 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |                {'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}                 |
|           sex           | random_forest |  0.616161616162  | 0.616161616162 | 0.616161616162 | 0.616161616162 | 0.616161616162 |       {'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}       |       {'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}       |       {'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}       |       {'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}       |       {'max_features': 'auto', 'max_leaf_nodes': 2, 'bootstrap': True, 'max_depth': 1}       |
|        chest_pain       |     linear    | -0.0189562093733 |      0.0       |      0.0       |      0.0       |      0.0       |                                     {'normalize': True}                                      |                                             0.0                                              |                                             0.0                                              |                                             0.0                                              |                                             0.0                                              |
