Feature	Estimator	Accuracy	Precision	Recall	F1	AUC	Accuracy_best	Precision_best	Recall_best	F1_best	AUC_best
blood_sugar	svc	0.5387205387205387	0.5387205387205387	0.5387205387205387	0.5387205387205387	0.5387205387205387	{'C': 1, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}	{'C': 1, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}	{'C': 1, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}	{'C': 1, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}	{'C': 1, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}
blood_sugar	decision_tree	0.5084175084175084	0.5084175084175084	0.5084175084175084	0.5084175084175084	0.5084175084175084	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}
blood_sugar	random_forest	0.5387205387205387	0.5387205387205387	0.5387205387205387	0.5387205387205387	0.5387205387205387	{'max_features': 'sqrt', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 1}	{'max_features': 'sqrt', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 1}	{'max_features': 'sqrt', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 1}	{'max_features': 'sqrt', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 1}	{'max_features': 'sqrt', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 1}
ecg	linear	0.008765338301225944	0.0	0.0	0.0	0.0	{'normalize': True}	0.0	0.0	0.0	0.0
ecg	knn	0.5858585858585859	0.5858585858585859	0.5858585858585859	0.5858585858585859	0.5858585858585859	{'n_neighbors': 40, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}	{'n_neighbors': 40, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}	{'n_neighbors': 40, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}	{'n_neighbors': 40, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}	{'n_neighbors': 40, 'weights': 'distance', 'leaf_size': 10, 'algorithm': 'brute', 'p': 1}
ecg	logistic	0.5791245791245792	0.5791245791245792	0.5791245791245792	0.5791245791245792	0.5791245791245792	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}
ecg	gaussian	0.5791245791245792	0.5791245791245792	0.5791245791245792	0.5791245791245792	0.5791245791245792	{}	{}	{}	{}	{}
ecg	svc	0.5858585858585859	0.5858585858585859	0.5858585858585859	0.5858585858585859	0.5858585858585859	{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}	{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}	{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}	{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}	{'C': 1, 'shrinking': True, 'gamma': 0.0, 'degree': 1, 'probability': True}
ecg	decision_tree	0.5858585858585859	0.5858585858585859	0.5858585858585859	0.5858585858585859	0.5858585858585859	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 2, 'max_depth': 1}
ecg	random_forest	0.5858585858585859	0.5858585858585859	0.5858585858585859	0.5858585858585859	0.5858585858585859	{'max_features': 'auto', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 10, 'bootstrap': True, 'max_depth': 1}
max_hr	linear	0.24732967015890195	0.0	0.0	0.0	0.0	{'normalize': False}	0.0	0.0	0.0	0.0
max_hr	knn	0.7138047138047138	0.7138047138047138	0.7138047138047138	0.7138047138047138	0.7138047138047138	{'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 50, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}
max_hr	logistic	0.7104377104377104	0.7104377104377104	0.7104377104377104	0.7104377104377104	0.7104377104377104	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}	{'penalty': 'l1', 'solver': 'lbfgs'}
max_hr	gaussian	0.6902356902356902	0.6902356902356902	0.6902356902356902	0.6902356902356902	0.6902356902356902	{}	{}	{}	{}	{}
max_hr	svc	0.7104377104377104	0.7104377104377104	0.7104377104377104	0.7104377104377104	0.7104377104377104	{'C': 10, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}	{'C': 10, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}	{'C': 10, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}	{'C': 10, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}	{'C': 10, 'shrinking': True, 'gamma': 0.001, 'degree': 1, 'probability': True}
max_hr	decision_tree	0.7070707070707071	0.7070707070707071	0.7070707070707071	0.7070707070707071	0.7070707070707071	{'max_features': 'auto', 'max_leaf_nodes': 10, 'max_depth': 5}	{'max_features': 'auto', 'max_leaf_nodes': 10, 'max_depth': 5}	{'max_features': 'auto', 'max_leaf_nodes': 10, 'max_depth': 5}	{'max_features': 'auto', 'max_leaf_nodes': 10, 'max_depth': 5}	{'max_features': 'auto', 'max_leaf_nodes': 10, 'max_depth': 5}
max_hr	random_forest	0.7138047138047138	0.7138047138047138	0.7138047138047138	0.7138047138047138	0.7138047138047138	{'max_features': 'auto', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 1}	{'max_features': 'auto', 'max_leaf_nodes': 20, 'bootstrap': True, 'max_depth': 1}
exercise_induced_angina	linear	0.1358687948345546	0.0	0.0	0.0	0.0	{'normalize': True}	0.0	0.0	0.0	0.0
exercise_induced_angina	knn	0.7104377104377104	0.7104377104377104	0.7104377104377104	0.7104377104377104	0.7104377104377104	{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}	{'n_neighbors': 10, 'weights': 'uniform', 'leaf_size': 10, 'algorithm': 'ball_tree', 'p': 1}
exercise_induced_angina	logistic	0.7104377104377104	0.7104377104377104	0.7104377104377104	0.7104377104377104	0.7104377104377104	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}	{'penalty': 'l1', 'solver': 'liblinear'}
exercise_induced_angina	gaussian	0.7104377104377104	0.7104377104377104	0.7104377104377104	0.7104377104377104	0.7104377104377104	{}	{}	{}	{}	{}
